acc_x,acc_y,acc_z,label
-1.13414,1.0288849,0.873929,0
-1.4142609,1.2766876,1.394681,0
-0.9689331,1.353302,-0.4093504,0
-0.063934326,1.5855408,-2.2074003,0
0.023452759,1.4909668,-1.3047819,0
-0.27581787,1.0013428,0.805707,0
-0.40390015,0.80023193,1.1636324,0
-0.4230652,0.98339844,0.7087374,0
-0.31053162,0.78466797,0.61895466,0
-0.06991577,0.92832947,-0.2776823,0
-0.11898804,1.3461151,-0.71342754,0
-0.42066956,1.2467499,-0.32435894,0
-0.7223358,0.6984863,0.0539217,0
-0.8396454,1.0360718,0.21073627,0
-0.88035583,1.1904907,0.13293171,0
-0.75823975,0.8756561,-0.7026396,0
-0.5032654,1.2479553,-0.85826397,0
-0.07710266,1.4646301,-0.06338787,0
0.21380615,1.2120361,0.15568256,0
0.5477905,1.2323914,-0.23457623,0
1.0134583,1.7232056,-0.45006084,0
0.82192993,1.5196991,0.23348713,0
0.3718109,0.96543884,0.92420673,0
0.201828,1.2754822,0.64768696,0
0.029449463,1.3437195,0.3208742,0
-0.3656006,0.70207214,-0.31956768,0
-0.69718933,0.86009216,-0.51111126,0
-0.95217896,1.2204132,0.42741108,0
-1.1329346,0.9319153,0.44178486,0
-1.0694885,1.1473999,-0.07297039,0
-0.69718933,1.5065308,0.110180855,0
-0.5786743,1.2730865,-0.064593315,0
-0.79774475,1.0971222,-0.17233562,0
-0.78338623,1.1964722,0.091031075,0
-0.86598206,1.061203,0.17243671,0
-1.0575256,0.8756561,0.23707294,0
-0.86598206,1.2515411,0.5028353,0
-0.59902954,1.2419739,0.02998066,0
-0.4769287,0.8253784,-0.8786192,0
-0.40629578,1.1450043,-0.6356077,0
-0.24468994,1.3042145,0.15208149,0
-0.19322205,1.6046906,-0.24415874,0
0.05937195,1.7327728,-0.2704954,0
0.26287842,1.3066101,0.026394844,0
0.048599243,0.982193,-0.29085064,0
-0.21476746,1.1282501,-0.21184063,0
-0.4386139,0.8948059,0.3388338,0
-0.505661,1.0779572,-0.47879314,0
-0.24349976,1.4011841,-1.0569944,0
-0.12738037,1.4658203,-0.88699627,0
-0.12857056,1.3114014,-0.7014494,0
-0.33926392,1.9769897,-0.19267559,0
-0.1525116,1.7615051,0.25384235,0
-0.0064697266,1.4430847,0.19517231,0
0.32392883,1.4143524,-0.07776165,0
0.42687988,1.4406891,-0.50152874,0
0.35147095,1.171341,0.002453804,0
0.43286133,0.90797424,0.38432026,0
0.09768677,1.3664703,0.24306965,0
-0.23391724,1.6405945,0.35918903,0
-0.5786743,1.5448303,0.76739216,0
-0.74627686,1.5651855,1.0511141,0
-0.41467285,1.7902374,0.65964985,0
-0.18482971,1.7208099,-0.095721245,0
-0.29496765,1.5173035,-0.7445402,0
-0.33926392,1.7495422,-0.64158916,0
-0.38116455,1.9111481,-0.28126812,0
-0.3979187,1.9482574,0.19877338,0
-0.20039368,1.6370087,0.95293903,0
-0.020828247,1.2647095,0.5878267,0
0.11323547,0.99417114,-0.2896452,0
-0.028015137,0.93670654,-0.5637846,0
0.10964966,0.6122894,0.079068184,0
0.11444092,0.9486847,0.31489277,0
0.060577393,1.0193024,-0.02508831,0
0.5358124,1.3006287,-0.6068754,0
1.166687,1.5460358,-0.44287395,0
1.1595154,1.3796387,-0.36625957,0
1.2504883,1.5173035,0.016812325,0
1.340271,1.760315,0.27418232,0
1.0014954,1.3556976,0.3065157,0
0.5705414,1.1869049,0.4405794,0
0.47236633,1.234787,0.103009224,0
0.39456177,1.3700562,-0.37224102,0
0.29042053,1.4227295,-0.39618206,0
0.2532959,1.5196991,-0.38901043,0
0.17907715,1.7184143,-0.37703228,0
-0.019638062,1.5220947,-0.18669415,0
-0.27461243,1.2407684,-0.0945158,0
-0.43981934,1.416748,0.023999214,0
-0.58706665,1.3449249,0.31608295,0
-0.7091675,1.0815582,-0.46921062,0
-0.85520935,0.8744507,-0.52188396,0
-0.3584137,0.6960907,-0.3758421,0
-0.36320496,0.7391815,-0.14479351,0
-0.45298767,1.0001526,0.60099506,0
-0.4769287,0.9845886,0.37594318,0
-0.49128723,0.91156006,-0.18789959,0
-0.33088684,1.116272,-0.086138725,0
-0.25546265,1.4311066,-0.10888958,0
-0.43023682,1.3413239,-0.016711235,0
-0.33805847,0.9786072,0.48487568,0
-0.26504517,1.0635986,0.3903017,0
-0.15730286,1.1569672,-0.34231853,0
0.053390503,1.1019135,-0.68109417,0
0.33111572,1.2539368,-0.75770855,0
0.538208,1.555603,-0.253726,0
0.5765228,1.7040405,-0.071780205,0
0.6435547,1.5603943,-0.33394146,0
0.7764435,1.2180176,-0.7265806,0
0.988327,1.1976776,-0.8702421,0
1.2313385,1.2683105,-0.4440794,0
1.2265472,1.1210632,-0.21661663,0
1.0661316,0.88642883,-0.9073515,1
0.8985443,0.9845886,-0.51111126,1
0.59806824,0.6350403,-0.076556206,1
-0.2997589,0.6194763,2.474454,1
-0.31651306,0.7559509,0.43220234,1
-0.22554016,0.83135986,-0.5781431,1
-0.6145935,1.203659,-0.5242796,1
-0.67684937,1.0743713,-0.29085064,1
-0.6576843,0.7822876,0.5590944,1
-0.75465393,1.1390228,1.5910006,1
-0.936615,1.0552216,1.5275545,1
-1.4405975,0.24597168,0.4010744,1
-1.920639,0.26393127,-0.31717205,1
-1.2897644,0.105911255,-0.4656248,1
-0.58706665,0.135849,-0.38182354,1
-0.2494812,0.69369507,0.07546711,1
0.3167572,1.2910461,0.7841463,1
0.55737305,1.0468445,0.8404207,1
-0.19920349,0.43392944,0.20834064,1
-0.39312744,0.6529999,-0.0657835,1
-0.66007996,0.47702026,0.02279377,1
-1.4130554,-0.36573792,0.07786274,1
-1.7650146,0.036483765,-0.36625957,1
-1.3891144,0.52371216,-0.6727171,1
-1.1748352,0.5440521,-0.9288969,1
-1.1664581,0.982193,-0.90614605,1
-1.0886536,1.2240143,-0.16994,1
-0.89352417,0.85769653,-0.18908978,1
-1.1425171,0.4147644,-0.34590435,1
-1.2035675,0.2950592,0.26221943,1
-1.1461029,0.03529358,0.3507967,1
-1.1568756,-0.020980835,0.18560505,1
-0.55114746,0.36927795,-0.009524345,1
0.54660034,0.79904175,0.24425983,1
1.1702881,0.8624878,0.6428957,1
1.4252625,0.8553009,0.3280611,1
1.7508698,1.0707855,-0.098116875,1
2.0800781,0.9247284,-0.293231,1
1.2253418,0.36688232,0.107785225,1
0.38020325,0.44709778,0.6859865,1
0.04978943,0.4434967,0.42382526,1
-0.25904846,-0.032943726,0.6022005,1
-0.54875183,-0.17060852,0.7446413,1
-0.43623352,0.17175293,0.09461689,1
-0.36320496,-0.16821289,0.17483234,1
-0.7989502,-0.21730042,0.766202,1
-0.50086975,0.6673584,0.50043964,1
0.10366821,0.80622864,0.62014484,1
-0.07589722,0.10951233,1.1911745,1
-0.24588013,-0.15625,1.0786409,1
0.050994873,-0.01977539,0.35200214,1
0.023452759,-0.38249207,0.093426704,1
0.22218323,-0.49502563,0.2023592,1
0.3167572,0.28668213,-0.31239605,1
0.2090149,0.77989197,-0.7888365,1
-0.033996582,1.0983124,-0.88341045,1
-0.43623352,1.2910461,-1.0079069,1
-0.8169098,1.4143524,-0.9695921,1
-0.8899231,0.590744,-1.0917082,1
-1.3376465,0.15739441,-1.1084623,1
-1.7422638,0.20527649,-0.47041607,1
-1.4417877,0.29864502,-0.4548521,1
-0.9964752,-0.08442688,-0.28006268,1
-1.3101044,0.2914734,0.75303364,1
-0.92344666,0.74157715,0.32446003,1
-0.37158203,0.8696747,-0.2501402,1
-0.051956177,1.1330261,-0.545825,1
0.34907532,1.3509064,-0.41055584,1
0.56214905,1.1749268,0.08504963,1
0.6315918,0.97979736,0.7003603,1
0.86860657,0.6960907,0.80450153,1
